response_id,panelist_id,survey_status,progress_pct,start_time_bst,end_time_bst,duration_sec,device_type,browser_family,traffic_source,ip_hash,browser_fingerprint,age,age_band,gender,region,urbanicity,employment_status,household_income,children_u18,s1_ordered_delivery_3m,q1_orders_past_30d,q2_last_order,q3_primary_service,q4_overall_satisfaction,q5_likelihood_reorder,q6_nps,q7_delivery_speed,q7_order_accuracy,q7_food_quality,q7_value_for_money,q7_app_ease,q7_service_selection,q7_customer_support,q7_promotions,q8_attention_check,q9_delivery_fee_reasonableness,q10_last_order_spend_gbp,q11_problem_last_order,q12_problem_type,q13_contacted_support,q14_support_resolution,q15_subscription_member,q16_open_end,page_screener_sec,page_usage_sec,page_experience_sec,page_grid_sec,page_demographics_sec,page_open_end_sec
R00011,P100011,Complete,100,2026-07-18T18:58:49+01:00,2026-07-18T19:06:50+01:00,481,Mobile,Safari,Panel B,f47275e91ea6,028ed94244fe,39,35-44,Man,Yorkshire and the Humber,Urban,Employed full-time,"£50,000-£74,999",No,Yes,1,8-30 days ago,MealDash,6,7,10,6,6,7,5,5,7,6,7,3,5,37.74,No,,,,Yes,Fewer missing items and clearer substitutions.,52.7,77.0,71.9,122.5,80.3,35.3
R00012,P100012,Complete,100,2026-07-20T01:19:41+01:00,2026-07-20T01:31:02+01:00,681,Mobile,Safari,Panel A,f47275e91ea6,8f5046c95544,49,45-54,Man,West Midlands,Suburban,Employed full-time,"£50,000-£74,999",Yes,Yes,2-3,Past week,MealDash,5,6,3,5,5,4,5,4,5,5,6,3,3,26.31,No,,,,No,Better tracking when the driver is close.,20.5,73.7,164.1,170.2,92.1,82.0
R00013,P100013,Complete,100,2026-07-15T16:35:26+01:00,2026-07-15T16:46:04+01:00,638,Mobile,Edge,Panel A,8466780e98fa,24f89f59d0e7,50,45-54,Woman,London,Urban,Employed full-time,"Under £20,000",Yes,Yes,4-5,Past week,QuickBite,6,6,6,6,5,5,7,6,6,5,6,3,6,24.24,No,,,,No,Let customers edit an order for a short time after placing it.,50.6,71.2,90.6,166.6,110.6,68.9
R00014,P100014,Complete,100,2026-07-20T04:49:16+01:00,2026-07-20T04:56:45+01:00,449,Mobile,Safari,Panel B,8466780e98fa,3b0a2679bceb,68,65-74,Man,North West,Rural,Self-employed,"£75,000-£99,999",Yes,Yes,1,8-30 days ago,QuickBite,6,6,8,6,6,7,5,6,7,7,6,3,6,17.21,No,,,,No,More restaurant choice in my area.,30.9,86.3,112.2,70.8,81.2,24.2
R00015,P100015,Complete,100,2026-07-07T07:28:53+01:00,2026-07-07T07:38:18+01:00,565,Mobile,Chrome,Panel A,3726c73c2780,55b918057fa5,18,18-24,Woman,Wales,Suburban,Employed part-time,"£100,000+",No,Yes,4-5,Past week,MealDash,4,4,3,4,5,4,3,3,5,5,4,3,4,31.46,Yes,Late delivery,No,,Yes,Improve the accuracy of map tracking.,50.5,87.0,87.7,106.4,82.1,107.5
R00016,P100016,Complete,100,2026-07-18T19:32:10+01:00,2026-07-18T19:40:22+01:00,492,Mobile,Chrome,Panel C,3726c73c2780,d402e2bfea42,44,35-44,Woman,East Midlands,Suburban,Employed full-time,"£20,000-£34,999",No,Yes,2-3,8-30 days ago,MealDash,5,6,7,5,5,5,5,5,4,3,5,3,5,53.18,No,,,,No,Better tracking when the driver is close.,46.9,67.0,126.3,82.6,62.4,43.0
R00017,P100017,Complete,100,2026-07-18T06:53:12+01:00,2026-07-18T07:00:56+01:00,464,Mobile,Chrome,Panel B,051fb3322641,927afc0c5578,74,65-74,Man,West Midlands,Suburban,Employed full-time,"Under £20,000",Yes,Yes,0,8-30 days ago,MealDash,4,6,6,4,4,4,5,4,3,4,4,3,3,30.79,No,,,,Yes,More restaurant choice in my area.,58.5,36.6,114.8,81.1,42.4,52.2
R00018,P100018,Complete,100,2026-07-15T04:55:46+01:00,2026-07-15T05:03:25+01:00,459,Mobile,Firefox,Panel B,051fb3322641,a852a89b6ede,24,18-24,Woman,North East,Urban,Not currently employed,"£35,000-£49,999",No,Yes,0,31-90 days ago,FoodGo,5,5,5,4,5,5,3,4,5,5,5,3,4,34.01,No,,,,No,Show unavailable items before I start ordering.,61.5,56.6,50.7,113.5,85.0,22.9
R00019,P100019,Complete,100,2026-07-18T23:22:17+01:00,2026-07-18T23:30:43+01:00,506,Mobile,Chrome,Panel A,bb6ebfb12207,f7739b5819a6,18,18-24,Woman,East of England,Urban,Employed part-time,"£35,000-£49,999",No,Yes,4-5,Past week,MealDash,4,4,4,6,5,3,4,4,4,4,4,3,4,17.52,Yes,Food arrived cold,Yes,4,Yes,More environmentally friendly packaging options.,38.2,134.2,70.0,74.6,50.3,87.6
R00020,P100020,Complete,100,2026-07-15T19:04:00+01:00,2026-07-15T19:14:43+01:00,643,Mobile,Chrome,Panel C,bb6ebfb12207,a07950144137,36,35-44,Man,East of England,Urban,Employed full-time,"£75,000-£99,999",No,Yes,2-3,8-30 days ago,Other,6,5,6,6,6,6,4,6,5,5,5,3,5,35.27,No,,,,No,More consistent delivery times at weekends.,60.5,65.2,158.4,168.5,76.9,37.7
R00021,P100021,Complete,100,2026-07-17T12:23:38+01:00,2026-07-17T12:32:12+01:00,514,Desktop,Safari,Panel A,4e6fd488931b,f38fc076ca7f,26,25-34,Woman,South West,Urban,Employed full-time,"Under £20,000",Yes,Yes,4-5,Past week,Restaurant direct,4,4,5,4,4,2,3,4,3,5,2,3,6,27.77,Yes,Late delivery,Yes,7,No,Improve the accuracy of map tracking.,54.2,54.0,80.9,107.5,45.6,65.2
R00022,P100022,Complete,100,2026-07-17T06:01:14+01:00,2026-07-17T06:10:41+01:00,567,Desktop,Chrome,Panel A,4e6fd488931b,fe600d817d41,31,25-34,Man,South East,Rural,Employed full-time,Prefer not to say,Yes,Yes,4-5,Past week,QuickBite,6,7,7,6,7,7,7,6,7,5,7,3,6,47.42,No,,,,Yes,More restaurant choice in my area.,34.1,83.8,104.9,148.5,64.8,43.1
R00023,P100023,Complete,100,2026-07-16T14:11:14+01:00,2026-07-16T14:18:01+01:00,407,Mobile,Chrome,Panel B,3e9e8ec3e75a,db88ff49a9d4,34,25-34,Man,West Midlands,Urban,Retired,"£50,000-£74,999",No,Yes,10+,Today,QuickBite,4,6,5,4,4,3,3,4,4,5,3,3,2,51.53,Yes,Late delivery,No,,No,"Lower delivery fees, especially on smaller orders.",45.0,37.9,110.2,44.8,52.9,52.6
R00024,P100024,Complete,100,2026-07-10T22:11:36+01:00,2026-07-10T22:21:00+01:00,564,Mobile,Chrome,Panel C,3e9e8ec3e75a,674462c84385,31,25-34,Man,East of England,Suburban,Self-employed,"£20,000-£34,999",Yes,Yes,10+,Today,QuickBite,6,7,10,7,6,6,6,7,7,7,7,3,6,32.46,No,,,,Yes,Reduce minimum order values.,33.5,83.5,73.5,129.2,83.7,69.4
R00025,P100025,Complete,100,2026-07-15T11:53:30+01:00,2026-07-15T12:03:01+01:00,571,Mobile,Chrome,Panel B,3e72c2ce6c7f,6a01653c560e,52,45-54,Woman,West Midlands,Urban,Employed full-time,"£35,000-£49,999",Yes,Yes,6-9,Today,Restaurant direct,5,6,7,6,3,7,6,7,5,6,4,3,4,30.1,No,,,,No,Fewer missing items and clearer substitutions.,39.9,70.8,91.2,133.5,72.8,87.0
R00026,P100026,Complete,100,2026-07-18T22:48:11+01:00,2026-07-18T22:55:46+01:00,455,Mobile,Chrome,Panel B,241f5f89a62c,72569263ea52,37,35-44,Man,South West,Suburban,Employed full-time,"Under £20,000",Yes,Yes,4-5,Past week,MealDash,4,4,4,4,4,4,4,4,5,5,4,3,5,28.13,No,,,,Yes,More consistent delivery times at weekends.,40.0,73.5,94.5,148.6,54.9,19.4
R00027,P100027,Complete,100,2026-07-17T20:10:20+01:00,2026-07-17T20:16:29+01:00,369,Mobile,Safari,Panel A,380931ade3f9,c9fdab1fd287,37,35-44,Man,West Midlands,Urban,Employed full-time,"£35,000-£49,999",No,Yes,0,31-90 days ago,MealDash,5,6,7,4,5,7,6,5,6,4,4,3,4,31.87,No,,,,No,More consistent delivery times at weekends.,46.0,49.3,48.1,62.2,53.0,51.2
R00028,P100028,Complete,100,2026-07-13T23:09:28+01:00,2026-07-13T23:11:34+01:00,126,Mobile,Safari,Panel A,55e18705ea2a,0a20760f4af2,59,55-64,Woman,London,Suburban,Employed part-time,"Under £20,000",No,Yes,1,8-30 days ago,FoodGo,3,4,3,2,4,4,3,5,4,3,3,3,4,38.7,No,,,,No,Better tracking when the driver is close.,16.9,15.7,16.3,33.4,25.2,6.5
R00029,P100029,Complete,100,2026-07-16T18:21:19+01:00,2026-07-16T18:31:07+01:00,588,Mobile,Chrome,Panel A,0ba8fd98d062,111d8e83cdea,21,18-24,Woman,Northern Ireland,Rural,Not currently employed,"£50,000-£74,999",Yes,Yes,0,31-90 days ago,QuickBite,5,5,5,4,4,5,5,4,5,5,5,3,4,50.03,No,,,,No,More environmentally friendly packaging options.,42.9,90.3,113.4,144.6,87.8,43.3
R00030,P100030,Complete,100,2026-07-11T08:25:27+01:00,2026-07-11T08:35:15+01:00,588,Mobile,Chrome,Panel B,43f0e3bbad44,2d4ab0535453,38,35-44,Man,Yorkshire and the Humber,Urban,Employed full-time,"£50,000-£74,999",Yes,Yes,6-9,Past week,Other,5,5,7,7,7,7,7,7,7,7,7,3,3,28.48,No,,,,Yes,"Better offers for existing customers, not just new users.",23.6,70.9,118.1,129.4,68.7,88.6
R00031,P100031,Complete,100,2026-07-19T07:17:07+01:00,2026-07-19T07:26:46+01:00,579,Desktop,Chrome,Panel A,0d6c6d489a91,45893951e92d,18,18-24,Man,South East,Rural,Self-employed,"£100,000+",No,Yes,1,Past week,Restaurant direct,4,4,5,3,5,5,4,5,6,4,4,3,3,58.58,Yes,Missing or incorrect items,No,,No,Give drivers clearer instructions for flats and apartment buildings.,42.5,86.8,129.6,123.2,47.5,81.6
R00032,P100032,Complete,100,2026-07-08T03:06:17+01:00,2026-07-08T03:14:01+01:00,464,Mobile,Chrome,Panel B,3d4c5530ef4d,167421306c4d,45,45-54,Man,East Midlands,Urban,Employed part-time,"£50,000-£74,999",No,Yes,2-3,Past week,MealDash,6,7,10,6,6,6,5,7,6,4,6,3,6,51.95,No,,,,Yes,Better loyalty rewards.,51.0,66.1,39.7,91.5,47.4,129.6
R00033,P100033,Complete,100,2026-07-10T06:38:20+01:00,2026-07-10T06:48:39+01:00,619,Mobile,Edge,Panel A,0a395c79516a,65b289799ed4,18,18-24,Woman,South East,Suburban,Employed full-time,"£20,000-£34,999",Yes,Yes,10+,Past week,FoodGo,6,5,6,6,5,7,5,7,6,5,6,3,4,55.27,No,,,,Yes,Improve food temperature on longer deliveries.,54.4,60.9,135.3,171.3,94.8,37.8
R00034,P100034,Complete,100,2026-07-12T21:29:16+01:00,2026-07-12T21:38:45+01:00,569,Mobile,Firefox,Panel C,0083ff93470d,ad31f73331e8,44,35-44,Woman,Yorkshire and the Humber,Urban,Employed full-time,"£35,000-£49,999",No,Yes,2-3,8-30 days ago,QuickBite,4,4,6,5,3,4,4,3,5,3,3,3,4,18.94,Yes,Payment or refund issue,Yes,3,No,Better loyalty rewards.,44.1,74.2,128.6,117.2,63.8,35.1
R00035,P100035,Complete,100,2026-07-20T21:31:53+01:00,2026-07-20T21:41:33+01:00,580,Mobile,Safari,Panel A,d0c4cf60e9f1,6f4a2cdf6456,66,65-74,Man,South West,Urban,Employed part-time,Prefer not to say,No,Yes,6-9,Past week,Restaurant direct,5,4,6,6,4,5,5,6,5,5,3,3,4,17.55,Yes,Payment or refund issue,Yes,6,Yes,More restaurant choice in my area.,33.0,67.9,82.6,142.9,101.5,93.1
R00036,P100036,Complete,100,2026-07-18T07:42:18+01:00,2026-07-18T07:50:31+01:00,493,Desktop,Chrome,Panel B,10d298cae448,4d8c34c2225a,20,18-24,Woman,North East,Suburban,Employed full-time,"£50,000-£74,999",Yes,Yes,1,8-30 days ago,Other,5,7,9,7,5,6,3,7,5,6,5,3,4,51.48,No,,,,Yes,More responsive customer support.,40.3,52.6,88.3,109.2,75.0,88.6
R00037,P100037,Complete,100,2026-07-20T15:03:00+01:00,2026-07-20T15:11:53+01:00,533,Mobile,Edge,Panel B,6772244cb2df,444dfef3b67b,29,25-34,Woman,East of England,Suburban,Employed part-time,"£35,000-£49,999",No,Yes,2-3,Past week,Restaurant direct,6,7,9,7,5,5,5,7,5,5,6,3,7,31.36,No,,,,Yes,Better tracking when the driver is close.,42.9,52.1,102.5,93.1,74.3,104.7
R00038,P100038,Complete,100,2026-07-17T11:26:06+01:00,2026-07-17T11:34:27+01:00,501,Tablet,Chrome,Panel B,5fe797c9f6cb,16a3867b6ee6,48,45-54,Woman,North West,Urban,Employed full-time,"£75,000-£99,999",No,Yes,1,8-30 days ago,FoodGo,4,4,5,4,4,3,3,6,4,4,4,3,5,24.4,No,,,,No,Reduce minimum order values.,54.2,57.7,133.5,98.8,47.5,48.8
R00039,P100039,Complete,100,2026-07-14T12:21:43+01:00,2026-07-14T12:29:50+01:00,487,Mobile,Chrome,Panel A,a97592f3027a,d6f1503162a2,20,18-24,Woman,Northern Ireland,Urban,Retired,"£35,000-£49,999",Yes,Yes,1,8-30 days ago,QuickBite,4,3,4,7,4,4,4,4,4,4,5,3,3,26.68,No,,,,Yes,Show unavailable items before I start ordering.,47.2,83.2,77.9,85.0,66.8,72.4
R00040,P100040,Complete,100,2026-07-12T01:05:50+01:00,2026-07-12T01:13:18+01:00,448,Tablet,Other,Panel B,2ded6228cfec,5baf2d401215,29,25-34,Man,London,Suburban,Retired,"£50,000-£74,999",Yes,Yes,10+,Today,Restaurant direct,5,6,5,7,5,5,4,5,5,6,5,3,6,17.07,No,,,,No,More responsive customer support.,33.8,87.6,79.7,56.3,46.7,62.5
R00041,P100041,Complete,100,2026-07-18T20:45:37+01:00,2026-07-18T20:55:47+01:00,610,Mobile,Edge,Panel A,6627f9d1dfb0,e4080b56749d,70,65-74,Man,West Midlands,Rural,Employed part-time,"£100,000+",No,Yes,4-5,Past week,FoodGo,6,7,6,6,5,4,6,7,5,6,6,3,3,36.58,No,,,,No,Show unavailable items before I start ordering.,37.0,123.6,74.8,196.8,75.8,37.7
R00042,P100042,Complete,100,2026-07-20T00:39:39+01:00,2026-07-20T00:49:17+01:00,578,Desktop,Edge,Panel A,eb04e04efe30,ab01c7942476,63,55-64,Woman,East Midlands,Rural,Student,"£35,000-£49,999",No,Yes,6-9,Past week,QuickBite,4,4,5,4,6,4,4,5,5,4,3,3,5,20.5,Yes,Late delivery,No,,No,Improve the accuracy of map tracking.,36.7,45.3,115.9,123.9,118.0,66.3
R00043,P100043,Complete,100,2026-07-11T12:47:45+01:00,2026-07-11T12:55:56+01:00,491,Mobile,Edge,Panel C,607a94c26cc7,6a4ee12dd044,28,25-34,Man,London,Rural,Employed part-time,"£20,000-£34,999",No,Yes,2-3,Past week,MealDash,5,6,7,5,6,4,5,5,6,4,6,5,2,34.14,No,,,,No,Nothing major; the service generally works well for me.,35.2,99.0,96.4,49.7,78.4,60.2
R00044,P100044,Complete,100,2026-07-18T23:53:17+01:00,2026-07-19T00:02:23+01:00,546,Mobile,Safari,Panel A,31b47765004f,3edb8a4c626e,18,18-24,Man,East Midlands,Rural,Employed full-time,"£50,000-£74,999",No,Yes,2-3,Past week,Restaurant direct,4,5,4,4,4,2,4,3,4,3,4,3,3,12.25,Yes,Missing or incorrect items,No,,No,Let customers edit an order for a short time after placing it.,46.2,87.5,111.9,99.6,99.3,53.0
R00045,P100045,Complete,100,2026-07-07T10:53:29+01:00,2026-07-07T11:01:55+01:00,506,Mobile,Chrome,Panel A,b99dc0164afb,0bbd480e63a5,48,45-54,Woman,Yorkshire and the Humber,Rural,Employed full-time,Prefer not to say,Yes,Yes,1,8-30 days ago,MealDash,5,5,6,2,2,2,2,2,2,2,2,3,4,30.01,No,,,,No,blah blah,23.1,86.3,143.2,84.4,57.6,66.8
R00046,P100046,Complete,100,2026-07-16T08:42:23+01:00,2026-07-16T08:50:54+01:00,511,Desktop,Safari,Panel A,c17f7481e8af,1ea015fcb630,44,35-44,Woman,South East,Urban,Employed part-time,"Under £20,000",Yes,Yes,0,31-90 days ago,QuickBite,4,4,6,5,4,4,5,5,4,5,4,6,5,40.94,Yes,Late delivery,Yes,4,No,More consistent delivery times at weekends.,42.7,43.8,110.6,149.7,45.5,66.8
R00047,P100047,Complete,100,2026-07-18T18:25:35+01:00,2026-07-18T18:35:09+01:00,574,Desktop,Chrome,Panel B,4fe7e9840327,a1d306b0d50f,51,45-54,Man,South East,Rural,Employed part-time,"£75,000-£99,999",Yes,Yes,0,31-90 days ago,MealDash,3,4,4,3,3,3,2,3,2,2,3,3,4,36.58,Yes,Late delivery,No,,Yes,More restaurant choice in my area.,51.3,28,112.1,85.6,101.8,96.8
R00048,P100048,Complete,100,2026-07-14T06:28:04+01:00,2026-07-14T06:38:25+01:00,621,Mobile,Chrome,Panel B,f6d905866add,9f08ec6cedc2,51,45-54,Man,East of England,Urban,Employed full-time,"£35,000-£49,999",Yes,Yes,10+,Today,FoodGo,5,6,8,7,6,6,4,4,5,7,4,3,5,31.08,No,,,,Yes,Improve food temperature on longer deliveries.,47.3,73.0,147.2,71.0,82.6,85.5
R00049,P100049,Complete,100,2026-07-13T12:53:33+01:00,2026-07-13T13:01:13+01:00,460,Mobile,Chrome,Panel C,aa8de2469604,14c4c6f0c1eb,71,65-74,Man,East of England,Urban,Retired,"£50,000-£74,999",Yes,Yes,1,Past week,FoodGo,4,4,5,4,3,4,3,5,7,4,4,3,2,72.51,No,,,,No,Fewer missing items and clearer substitutions.,46.2,65.3,106.2,86.7,43.3,52.6
R00050,P100050,Complete,100,2026-07-08T06:04:04+01:00,2026-07-08T06:10:24+01:00,380,Desktop,Chrome,Panel A,a77edef2401e,51d7ba6e6d7a,42,35-44,Woman,West Midlands,Urban,Employed part-time,"£20,000-£34,999",Yes,Yes,2-3,Past week,QuickBite,5,7,6,5,7,5,5,5,6,6,5,3,5,29.1,No,,,,No,Lower prices overall.,18,83.8,103.4,85.5,28,18
R00051,P100051,Complete,100,2026-07-09T12:36:13+01:00,2026-07-09T12:43:53+01:00,460,Mobile,Chrome,Panel C,5d382b1d9f60,eebaafc8a349,25,25-34,Man,South West,Urban,Retired,"£35,000-£49,999",No,Yes,6-9,Past week,MealDash,4,4,7,5,4,4,3,4,3,4,5,3,5,22.45,No,,,,No,Faster refunds when something goes wrong.,50.2,43.1,104.2,100.7,58.5,77.8
R00052,P100052,Complete,100,2026-07-14T16:09:01+01:00,2026-07-14T16:18:20+01:00,559,Mobile,Safari,Panel A,fcdf6a5fb993,e4b69f343d45,29,25-34,Woman,London,Suburban,Retired,"£75,000-£99,999",No,Yes,1,8-30 days ago,FoodGo,4,4,6,4,5,5,2,6,5,5,3,3,5,39.85,Yes,Missing or incorrect items,No,,Yes,Let customers edit an order for a short time after placing it.,51.0,68.2,80.5,197.6,106.0,86.5
R00053,P100053,Complete,100,2026-07-20T09:44:17+01:00,2026-07-20T09:53:21+01:00,544,Mobile,Chrome,Panel A,7831ce13dc08,7b48481cf435,23,18-24,Man,West Midlands,Suburban,Employed full-time,"£35,000-£49,999",No,Yes,1,Past week,FoodGo,7,7,7,7,6,7,5,7,7,6,7,3,6,29.44,No,,,,No,Show unavailable items before I start ordering.,31.1,79.3,111.6,127.6,49.0,61.1
R00054,P100054,Complete,100,2026-07-09T02:40:45+01:00,2026-07-09T02:51:13+01:00,628,Mobile,Other,Panel A,8f2167cfdd68,93da2cdd0183,30,25-34,Woman,South East,Suburban,Self-employed,"£20,000-£34,999",No,Yes,4-5,Today,MealDash,4,6,5,4,6,5,5,4,4,6,3,3,3,35.57,No,,,,Yes,Better loyalty rewards.,57.2,40.7,127.7,139.7,103.9,84.7
R00055,P100055,Complete,100,2026-07-15T17:11:25+01:00,2026-07-15T17:20:26+01:00,541,Desktop,Firefox,Panel B,3abd888c50d7,13f6328fd125,40,35-44,Woman,South East,Urban,Employed full-time,"£35,000-£49,999",No,Yes,4-5,Past week,QuickBite,6,7,8,6,7,5,4,6,5,4,5,3,5,17.92,No,,,,No,Faster refunds when something goes wrong.,39.0,89.9,88.7,126.9,75.4,55.5
R00056,P100056,Complete,100,2026-07-19T11:02:32+01:00,2026-07-19T11:09:41+01:00,429,Mobile,Safari,Panel A,d695bfdf2ce8,f38e4d645954,58,55-64,Man,South East,Urban,Employed part-time,"£50,000-£74,999",Yes,Yes,1,8-30 days ago,MealDash,2,3,4,4,3,1,1,3,2,4,2,3,2,23.61,Yes,Order cancelled,No,,No,More restaurant choice in my area.,29.0,41.1,78.2,108.6,81.2,29.3
R00057,P100057,Complete,100,2026-07-09T08:37:06+01:00,2026-07-09T08:45:49+01:00,523,Mobile,Firefox,Panel B,84a7ed0283cd,b3473758e53c,26,25-34,Man,Scotland,Urban,Employed full-time,Prefer not to say,No,Yes,1,8-30 days ago,QuickBite,5,5,7,6,6,6,5,6,5,5,6,3,6,17.03,No,,,,No,More consistent delivery times at weekends.,51.7,57.0,89.0,102.7,97.7,67.0
R00058,P100058,Complete,100,2026-07-17T20:32:58+01:00,2026-07-17T20:42:24+01:00,566,Mobile,Firefox,Panel C,6b0c28e3dc77,ce78220ff3f2,51,45-54,Man,Wales,Urban,Employed part-time,"Under £20,000",No,Yes,1,8-30 days ago,FoodGo,3,3,3,1,2,2,2,4,1,1,3,3,1,31.24,Yes,Late delivery,Yes,6,Yes,Show unavailable items before I start ordering.,45.3,66.4,124.5,88.4,67.4,86.0
R00059,P100059,Complete,100,2026-07-18T16:29:19+01:00,2026-07-18T16:38:51+01:00,572,Desktop,Safari,Panel A,114c6a06c86d,c782ef18365f,40,35-44,Man,South East,Rural,Student,"£20,000-£34,999",No,Yes,6-9,Past week,MealDash,5,4,6,6,6,6,3,7,4,5,5,3,5,32.26,No,,,,Yes,Let customers edit an order for a short time after placing it.,49.0,113.7,66.5,120.7,67.1,94.7
R00060,P100060,Complete,100,2026-07-20T20:15:45+01:00,2026-07-20T20:26:05+01:00,620,Mobile,Chrome,Panel B,0033f87a669e,cb78c67ec2dd,68,65-74,Man,London,Suburban,Employed full-time,"£35,000-£49,999",No,Yes,0,8-30 days ago,MealDash,6,7,10,6,7,7,6,6,7,7,6,3,5,10.79,No,,,,No,Give drivers clearer instructions for flats and apartment buildings.,63.1,79.6,86.3,105.4,81.1,117.7
