response_id,injected_profile,injected_issues,issue_count,expected_high_quality_complete,notes
R00359,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00360,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00361,multi_issue,straightliner; logical_inconsistency,2,No,
R00362,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00363,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00364,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00365,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00366,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00367,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00368,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00369,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00370,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00371,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00372,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00373,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00374,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00375,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00376,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00377,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00378,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00379,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00380,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00381,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00382,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00383,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00384,attention_fail,attention_fail,1,No,
R00385,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00386,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00387,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00388,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00389,low_quality_open,low_quality_open_text,1,No,
R00390,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00391,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00392,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
