response_id,flag_partial,flag_speeder,flag_straightliner,flag_attention_fail,flag_invalid_value,flag_logic_error,flag_duplicate_like,flag_low_quality_open_text,total_flags,qc_flagged,behavioural_flag_count,recommended_exclude,recommended_review
R00073,False,False,False,False,False,False,False,False,0,False,0,False,False
R00074,False,False,False,False,False,True,False,False,1,True,1,False,True
R00075,False,False,False,False,False,False,False,False,0,False,0,False,False
R00076,False,False,False,False,False,False,False,False,0,False,0,False,False
R00077,False,True,False,False,False,True,False,False,2,True,2,True,False
R00078,False,False,False,False,False,False,False,False,0,False,0,False,False
R00079,False,False,False,False,False,False,False,False,0,False,0,False,False
R00080,False,False,True,False,False,False,False,False,1,True,1,False,True
R00081,False,True,False,False,False,False,False,False,1,True,1,False,True
R00082,False,False,False,False,False,False,True,False,1,True,0,True,False
R00083,False,False,False,False,False,False,False,False,0,False,0,False,False
R00084,False,False,False,False,False,False,False,False,0,False,0,False,False
R00085,False,False,False,False,False,False,True,False,1,True,0,True,False
R00086,False,False,False,False,False,False,False,False,0,False,0,False,False
R00087,False,False,False,False,False,False,False,False,0,False,0,False,False
R00088,False,False,False,False,False,False,False,False,0,False,0,False,False
R00089,False,False,False,False,False,False,False,False,0,False,0,False,False
R00090,False,False,False,False,False,False,False,False,0,False,0,False,False
R00091,False,False,False,False,False,False,False,False,0,False,0,False,False
R00092,False,False,False,False,False,False,False,False,0,False,0,False,False
R00093,False,False,False,False,False,False,False,True,1,True,1,False,True
R00094,False,False,False,False,False,False,False,False,0,False,0,False,False
R00095,False,False,False,False,False,False,False,False,0,False,0,False,False
R00096,False,False,False,False,False,False,False,False,0,False,0,False,False
R00097,False,False,False,False,False,False,False,False,0,False,0,False,False
R00098,False,False,False,False,False,False,False,False,0,False,0,False,False
R00099,False,False,False,False,False,False,False,False,0,False,0,False,False
R00100,False,False,False,False,False,False,False,False,0,False,0,False,False
R00101,False,False,False,False,False,False,False,False,0,False,0,False,False
R00102,False,False,False,False,False,False,False,False,0,False,0,False,False
R00103,False,False,False,False,False,False,False,False,0,False,0,False,False
R00104,False,False,False,True,False,False,False,False,1,True,1,False,True
R00105,False,False,False,False,False,False,False,False,0,False,0,False,False
R00106,False,False,False,False,False,False,False,False,0,False,0,False,False
R00107,False,False,False,False,False,False,False,False,0,False,0,False,False
R00108,False,False,False,True,False,False,False,False,1,True,1,False,True
R00109,False,False,False,False,False,False,False,False,0,False,0,False,False
R00110,False,False,False,False,False,False,False,False,0,False,0,False,False
R00111,False,True,True,False,False,False,False,False,2,True,2,True,False
R00112,False,False,False,False,False,False,False,False,0,False,0,False,False
R00113,False,False,False,False,False,False,False,False,0,False,0,False,False
R00114,False,False,False,False,False,False,False,False,0,False,0,False,False
R00115,False,False,False,False,False,False,False,False,0,False,0,False,False
R00116,False,False,False,False,False,False,False,False,0,False,0,False,False
R00117,False,False,False,False,False,False,False,False,0,False,0,False,False
R00118,False,False,False,True,False,False,False,False,1,True,1,False,True
R00119,False,False,False,False,False,False,False,False,0,False,0,False,False
R00120,False,False,False,False,False,False,False,False,0,False,0,False,False
R00121,False,False,False,False,False,False,False,False,0,False,0,False,False
R00122,False,False,False,False,False,False,False,False,0,False,0,False,False
R00123,False,False,False,False,False,False,False,True,1,True,1,False,True
R00124,False,False,False,False,False,False,False,False,0,False,0,False,False
R00125,False,False,False,False,False,False,False,False,0,False,0,False,False
R00126,False,False,False,False,False,False,False,False,0,False,0,False,False
R00127,False,False,False,False,False,False,False,False,0,False,0,False,False
R00128,False,False,False,False,False,False,False,False,0,False,0,False,False
R00129,False,False,False,False,False,False,False,False,0,False,0,False,False
R00130,False,False,False,False,False,False,False,False,0,False,0,False,False
R00131,False,True,False,False,False,False,False,False,1,True,1,False,True
R00132,False,False,False,False,False,False,False,False,0,False,0,False,False
R00133,False,False,False,False,False,True,False,False,1,True,1,False,True
R00134,False,False,True,False,False,False,False,False,1,True,1,False,True
R00135,False,False,False,False,False,False,False,False,0,False,0,False,False
R00136,False,False,False,False,False,False,False,False,0,False,0,False,False
R00137,False,False,False,False,False,False,False,False,0,False,0,False,False
R00138,False,False,False,False,False,False,False,False,0,False,0,False,False
R00139,False,False,False,False,False,False,False,False,0,False,0,False,False
R00140,False,True,False,False,False,False,False,False,1,True,1,False,True
R00141,False,False,False,False,False,False,False,False,0,False,0,False,False
R00142,False,False,False,False,False,False,False,False,0,False,0,False,False
R00143,False,False,False,False,False,False,False,False,0,False,0,False,False
R00144,False,False,False,False,False,False,False,False,0,False,0,False,False
R00145,False,False,False,True,False,True,False,False,2,True,2,True,False
R00146,False,False,False,False,False,False,True,False,1,True,0,True,False
R00147,False,False,False,False,False,False,False,False,0,False,0,False,False
R00148,False,False,False,False,False,False,False,False,0,False,0,False,False
R00149,False,False,False,True,False,True,False,False,2,True,2,True,False
R00150,False,False,False,False,False,False,False,False,0,False,0,False,False
R00151,False,False,False,False,False,False,False,False,0,False,0,False,False
R00152,False,False,False,False,False,False,False,False,0,False,0,False,False
R00153,False,False,True,False,False,False,False,False,1,True,1,False,True
R00154,False,False,False,False,False,False,False,False,0,False,0,False,False
R00155,False,False,False,False,False,False,False,False,0,False,0,False,False
R00156,False,False,False,False,False,True,False,False,1,True,1,False,True
R00157,False,False,False,True,False,False,False,False,1,True,1,False,True
R00158,False,False,False,False,False,False,False,False,0,False,0,False,False
R00159,False,False,False,False,False,False,False,False,0,False,0,False,False
R00160,False,False,True,False,False,False,False,False,1,True,1,False,True
R00161,False,False,False,False,False,False,False,False,0,False,0,False,False
R00162,False,False,False,False,False,False,False,False,0,False,0,False,False
R00163,False,False,False,False,False,False,False,False,0,False,0,False,False
R00164,False,False,False,False,False,False,False,False,0,False,0,False,False
R00165,False,False,False,False,False,False,False,False,0,False,0,False,False
R00166,False,False,False,False,False,False,False,False,0,False,0,False,False
R00167,False,False,False,False,False,False,False,False,0,False,0,False,False
R00168,False,False,False,False,False,False,False,False,0,False,0,False,False
R00169,False,False,False,False,False,False,False,False,0,False,0,False,False
R00170,False,False,False,False,False,False,False,False,0,False,0,False,False
R00171,False,False,False,True,False,False,False,False,1,True,1,False,True
R00172,False,False,False,False,False,False,False,False,0,False,0,False,False
R00173,False,False,False,False,False,False,False,False,0,False,0,False,False
R00174,False,False,False,False,False,False,False,False,0,False,0,False,False
R00175,False,False,False,False,False,False,False,False,0,False,0,False,False
R00176,False,False,False,False,False,False,False,False,0,False,0,False,False
R00177,False,False,False,False,False,False,False,False,0,False,0,False,False
R00178,False,False,False,False,False,False,False,False,0,False,0,False,False
R00179,False,False,False,False,False,False,False,False,0,False,0,False,False
R00180,False,True,False,False,False,True,False,False,2,True,2,True,False
R00181,False,False,True,False,False,False,False,False,1,True,1,False,True
R00182,False,False,False,False,False,False,False,False,0,False,0,False,False
R00183,False,False,False,False,False,False,False,False,0,False,0,False,False
R00184,False,False,False,True,False,True,False,False,2,True,2,True,False
R00185,False,False,False,False,False,False,False,False,0,False,0,False,False
R00186,False,False,False,False,False,False,False,False,0,False,0,False,False
R00187,False,True,False,False,False,False,False,False,1,True,1,False,True
R00188,False,False,False,False,False,False,False,False,0,False,0,False,False
R00189,False,False,False,False,False,False,False,False,0,False,0,False,False
R00190,False,False,False,False,False,False,False,False,0,False,0,False,False
R00191,False,False,False,False,False,False,False,False,0,False,0,False,False
R00192,False,False,False,False,False,False,False,False,0,False,0,False,False
R00193,False,False,False,False,False,False,False,False,0,False,0,False,False
R00194,False,False,False,False,False,False,False,False,0,False,0,False,False
R00195,False,False,False,False,False,False,False,False,0,False,0,False,False
R00196,False,False,False,False,False,False,False,False,0,False,0,False,False
R00197,False,False,True,False,False,False,False,False,1,True,1,False,True
R00198,False,False,False,False,False,False,False,False,0,False,0,False,False
R00199,False,False,False,False,False,False,False,False,0,False,0,False,False
R00200,False,False,False,False,False,False,False,False,0,False,0,False,False
R00201,False,False,False,False,False,False,False,False,0,False,0,False,False
R00202,False,False,False,False,False,False,False,False,0,False,0,False,False
R00203,False,True,False,False,False,False,False,False,1,True,1,False,True
R00204,False,False,False,False,False,False,False,False,0,False,0,False,False
R00205,False,False,False,False,False,True,False,False,1,True,1,False,True
R00206,False,False,False,False,False,False,False,False,0,False,0,False,False
R00207,False,False,False,False,False,False,False,False,0,False,0,False,False
R00208,False,False,False,False,False,False,False,False,0,False,0,False,False
R00209,False,False,False,False,False,False,False,False,0,False,0,False,False
R00210,False,False,False,False,False,False,False,False,0,False,0,False,False
R00211,False,False,False,False,False,False,False,False,0,False,0,False,False
R00212,False,False,False,False,False,False,False,False,0,False,0,False,False
R00213,False,False,False,True,False,False,False,False,1,True,1,False,True
R00214,False,False,False,False,False,False,False,False,0,False,0,False,False
R00215,False,False,False,False,False,False,False,False,0,False,0,False,False
R00216,False,False,False,False,False,False,False,False,0,False,0,False,False
R00217,False,False,False,False,False,False,False,False,0,False,0,False,False
R00218,False,False,False,False,False,False,False,False,0,False,0,False,False
R00219,False,False,False,False,False,False,False,False,0,False,0,False,False
R00220,False,False,False,False,False,False,False,False,0,False,0,False,False
R00221,False,True,False,False,False,False,False,False,1,True,1,False,True
R00222,False,False,False,True,False,False,False,False,1,True,1,False,True
R00223,False,False,False,True,False,False,False,False,1,True,1,False,True
R00224,False,False,False,False,False,False,False,False,0,False,0,False,False
R00225,False,False,False,False,False,False,False,False,0,False,0,False,False
R00226,False,False,False,False,False,False,False,False,0,False,0,False,False
R00227,False,False,False,False,False,False,False,False,0,False,0,False,False
R00228,False,False,False,False,False,False,False,False,0,False,0,False,False
R00229,False,False,False,True,False,False,False,False,1,True,1,False,True
R00230,False,False,False,False,False,True,False,False,1,True,1,False,True
R00231,False,False,False,False,False,False,False,False,0,False,0,False,False
R00232,False,False,False,False,False,False,False,False,0,False,0,False,False
R00233,False,False,False,False,False,False,False,False,0,False,0,False,False
R00234,False,False,False,False,False,False,False,False,0,False,0,False,False
R00235,False,False,False,False,False,False,False,False,0,False,0,False,False
R00236,False,False,False,False,False,False,False,False,0,False,0,False,False
R00237,False,False,False,False,False,False,False,False,0,False,0,False,False
R00238,False,False,False,False,False,False,False,False,0,False,0,False,False
R00239,False,False,False,False,False,False,False,False,0,False,0,False,False
R00240,False,True,False,False,False,False,False,False,1,True,1,False,True
R00241,False,False,False,False,False,False,False,False,0,False,0,False,False
R00242,False,False,False,False,False,False,False,False,0,False,0,False,False
R00243,False,False,False,False,False,False,False,False,0,False,0,False,False
R00244,False,False,False,False,False,False,False,False,0,False,0,False,False
R00245,False,False,False,False,False,False,False,True,1,True,1,False,True
R00246,False,False,False,False,False,False,False,False,0,False,0,False,False
R00247,False,False,False,False,False,False,False,False,0,False,0,False,False
R00248,False,False,False,False,False,False,False,False,0,False,0,False,False
R00249,False,False,False,False,False,False,False,False,0,False,0,False,False
R00250,False,False,False,False,False,False,False,False,0,False,0,False,False
R00251,False,False,False,False,False,False,False,False,0,False,0,False,False
R00252,False,False,False,False,False,False,False,False,0,False,0,False,False
R00253,False,False,False,False,False,False,False,True,1,True,1,False,True
R00254,False,False,False,False,False,False,False,False,0,False,0,False,False
R00255,False,False,False,False,False,False,False,False,0,False,0,False,False
R00256,False,False,False,False,False,False,False,False,0,False,0,False,False
R00257,False,False,False,False,False,False,False,False,0,False,0,False,False
R00258,False,False,False,False,False,False,False,False,0,False,0,False,False
R00259,False,False,False,False,False,False,False,False,0,False,0,False,False
R00260,False,False,False,False,False,False,False,False,0,False,0,False,False
R00261,False,False,True,False,False,False,False,False,1,True,1,False,True
R00262,False,False,False,False,False,False,False,False,0,False,0,False,False
R00263,False,False,False,False,False,False,False,False,0,False,0,False,False
R00264,False,False,False,False,False,False,False,False,0,False,0,False,False
R00265,False,False,False,False,False,False,False,False,0,False,0,False,False
R00266,False,False,False,False,False,False,False,False,0,False,0,False,False
R00267,False,False,False,False,False,False,False,False,0,False,0,False,False
R00268,False,False,False,False,False,False,False,False,0,False,0,False,False
R00269,False,False,False,False,False,False,False,False,0,False,0,False,False
R00270,False,False,False,False,False,False,False,False,0,False,0,False,False
R00271,False,False,False,False,False,False,False,False,0,False,0,False,False
R00272,False,False,False,False,False,False,False,False,0,False,0,False,False
R00273,False,False,False,False,False,False,False,False,0,False,0,False,False
R00274,False,False,False,False,False,False,False,False,0,False,0,False,False
R00275,False,False,False,False,False,False,False,False,0,False,0,False,False
R00276,False,False,False,False,False,False,False,False,0,False,0,False,False
R00277,False,False,False,False,False,False,False,False,0,False,0,False,False
R00278,False,False,False,False,False,False,False,False,0,False,0,False,False
R00279,False,False,False,False,False,False,False,False,0,False,0,False,False
R00280,False,True,False,True,False,False,False,False,2,True,2,True,False
R00281,False,False,False,False,False,False,False,True,1,True,1,False,True
R00282,False,False,False,False,False,False,False,False,0,False,0,False,False
R00283,False,True,False,False,False,False,False,True,2,True,2,True,False
R00284,False,True,False,False,False,False,False,False,1,True,1,False,True
R00285,False,False,False,False,False,False,False,False,0,False,0,False,False
R00286,False,False,False,False,False,False,False,False,0,False,0,False,False
R00287,False,True,False,False,False,False,False,False,1,True,1,False,True
R00288,False,False,False,False,False,False,False,False,0,False,0,False,False
R00289,False,False,False,False,False,False,False,False,0,False,0,False,False
R00290,False,False,False,False,False,False,False,False,0,False,0,False,False
R00291,False,False,False,False,False,False,False,False,0,False,0,False,False
R00292,False,False,False,False,False,False,False,False,0,False,0,False,False
R00293,False,False,False,False,False,False,False,False,0,False,0,False,False
R00294,False,False,False,False,False,False,False,False,0,False,0,False,False
R00295,False,False,False,False,False,False,False,False,0,False,0,False,False
R00296,False,False,True,False,False,False,False,False,1,True,1,False,True
R00297,False,False,False,False,False,False,False,False,0,False,0,False,False
R00298,False,False,False,False,False,False,False,False,0,False,0,False,False
R00299,False,False,False,False,False,False,False,False,0,False,0,False,False
R00300,False,False,False,False,False,False,False,False,0,False,0,False,False
R00301,False,False,False,False,False,False,False,False,0,False,0,False,False
R00302,False,False,False,False,False,False,False,False,0,False,0,False,False
R00303,False,False,False,False,False,False,False,False,0,False,0,False,False
R00304,False,False,False,False,True,False,False,False,1,True,0,True,False
R00305,False,False,False,False,False,False,False,False,0,False,0,False,False
R00306,False,False,False,False,False,False,False,False,0,False,0,False,False
R00307,False,False,False,False,False,False,False,False,0,False,0,False,False
R00308,False,False,False,False,False,False,False,True,1,True,1,False,True
R00309,False,False,False,False,False,False,False,False,0,False,0,False,False
R00310,False,True,False,False,False,False,False,False,1,True,1,False,True
R00311,False,False,False,False,False,False,False,False,0,False,0,False,False
R00312,False,False,False,False,False,False,False,False,0,False,0,False,False
R00313,False,False,False,False,False,False,False,False,0,False,0,False,False
R00314,False,False,False,False,False,False,False,False,0,False,0,False,False
R00315,False,False,False,False,False,False,False,False,0,False,0,False,False
R00316,False,False,False,False,False,False,False,False,0,False,0,False,False
R00317,False,False,False,False,False,False,False,False,0,False,0,False,False
R00318,False,False,False,False,False,False,False,False,0,False,0,False,False
R00319,False,False,False,False,False,False,False,False,0,False,0,False,False
R00320,False,False,False,False,False,False,False,False,0,False,0,False,False
R00321,False,False,False,False,False,False,False,False,0,False,0,False,False
R00322,False,False,False,False,False,False,False,False,0,False,0,False,False
R00323,False,False,False,False,False,False,False,False,0,False,0,False,False
R00324,False,False,False,False,False,False,False,False,0,False,0,False,False
R00325,False,False,False,False,False,False,False,False,0,False,0,False,False
R00326,False,False,False,False,False,False,False,False,0,False,0,False,False
R00327,False,False,False,False,False,False,False,False,0,False,0,False,False
R00328,False,False,False,False,False,False,False,False,0,False,0,False,False
R00329,False,False,False,False,False,False,False,False,0,False,0,False,False
R00330,False,False,False,False,False,False,False,False,0,False,0,False,False
R00331,False,False,False,False,False,False,False,True,1,True,1,False,True
R00332,False,False,True,False,False,False,False,False,1,True,1,False,True
R00333,False,False,False,True,False,False,False,False,1,True,1,False,True
R00334,False,True,False,False,False,False,False,False,1,True,1,False,True
R00335,False,True,False,False,False,False,False,False,1,True,1,False,True
R00336,False,False,False,False,False,False,False,False,0,False,0,False,False
R00337,False,False,False,False,False,True,False,True,2,True,2,True,False
R00338,False,False,False,False,False,False,False,False,0,False,0,False,False
R00339,False,False,False,False,False,False,False,False,0,False,0,False,False
R00340,False,False,False,False,False,False,True,False,1,True,0,True,False
R00341,False,True,False,False,False,False,False,False,1,True,1,False,True
R00342,False,False,False,False,False,False,False,True,1,True,1,False,True
R00343,False,False,False,False,False,False,False,False,0,False,0,False,False
R00344,False,False,False,False,False,False,False,False,0,False,0,False,False
R00345,False,False,False,False,False,False,False,False,0,False,0,False,False
R00346,False,False,True,False,False,False,False,False,1,True,1,False,True
R00347,False,False,False,False,False,False,False,False,0,False,0,False,False
R00348,False,False,False,False,False,False,False,False,0,False,0,False,False
R00349,False,False,False,True,False,False,False,False,1,True,1,False,True
R00350,False,False,True,False,False,False,False,False,1,True,1,False,True
R00351,False,False,False,False,False,False,False,False,0,False,0,False,False
R00352,False,False,False,False,False,False,False,False,0,False,0,False,False
R00353,False,False,False,False,False,False,False,False,0,False,0,False,False
R00354,False,False,False,False,False,False,False,False,0,False,0,False,False
R00355,False,False,False,False,False,False,False,False,0,False,0,False,False
R00356,False,False,False,False,False,False,False,False,0,False,0,False,False
R00357,False,False,False,False,False,False,False,False,0,False,0,False,False
R00358,False,False,False,False,False,False,False,False,0,False,0,False,False
R00359,False,False,False,False,False,False,False,False,0,False,0,False,False
R00360,False,False,False,False,False,False,False,False,0,False,0,False,False
R00361,False,False,True,False,False,True,False,False,2,True,2,True,False
R00362,False,False,False,False,False,False,False,False,0,False,0,False,False
R00363,False,False,False,False,False,False,False,False,0,False,0,False,False
R00364,False,False,False,False,False,False,False,False,0,False,0,False,False
R00365,False,False,False,False,False,False,False,False,0,False,0,False,False
R00366,False,False,False,False,False,False,False,False,0,False,0,False,False
R00367,False,False,False,False,False,False,False,False,0,False,0,False,False
R00368,False,False,False,False,False,False,False,False,0,False,0,False,False
R00369,False,False,False,False,False,False,False,False,0,False,0,False,False
R00370,False,False,False,False,False,False,False,False,0,False,0,False,False
R00371,False,False,False,False,False,False,False,False,0,False,0,False,False
R00372,False,False,False,False,False,False,False,False,0,False,0,False,False
R00373,False,False,False,False,False,False,False,False,0,False,0,False,False
R00374,False,False,False,False,False,False,False,False,0,False,0,False,False
R00375,False,False,False,False,False,False,False,False,0,False,0,False,False
R00376,False,False,False,False,False,False,False,False,0,False,0,False,False
R00377,False,False,False,False,False,False,False,False,0,False,0,False,False
R00378,False,False,False,False,False,False,False,False,0,False,0,False,False
R00379,False,False,False,False,False,False,False,False,0,False,0,False,False
R00380,False,False,False,False,False,False,False,False,0,False,0,False,False
R00381,False,False,False,False,False,False,False,False,0,False,0,False,False
R00382,False,False,False,False,False,False,False,False,0,False,0,False,False
R00383,False,False,False,False,False,False,False,False,0,False,0,False,False
R00384,False,False,False,True,False,False,False,False,1,True,1,False,True
R00385,False,False,False,False,False,False,False,False,0,False,0,False,False
R00386,False,False,False,False,False,False,False,False,0,False,0,False,False
R00387,False,False,False,False,False,False,False,False,0,False,0,False,False
R00388,False,False,False,False,False,False,False,False,0,False,0,False,False
R00389,False,False,False,False,False,False,False,True,1,True,1,False,True
R00390,False,False,False,False,False,False,False,False,0,False,0,False,False
R00391,False,False,False,False,False,False,False,False,0,False,0,False,False
R00392,False,False,False,False,False,False,False,False,0,False,0,False,False
R00393,False,False,False,False,False,False,False,False,0,False,0,False,False
R00394,False,False,False,False,False,False,False,False,0,False,0,False,False
R00395,False,False,False,False,False,False,False,False,0,False,0,False,False
R00396,False,False,False,False,False,False,False,False,0,False,0,False,False
R00397,False,True,False,False,False,False,False,False,1,True,1,False,True
R00398,False,False,False,True,False,False,False,False,1,True,1,False,True
R00399,False,False,False,False,False,False,False,False,0,False,0,False,False
R00400,False,False,False,False,True,False,False,False,1,True,0,True,False
R00401,False,False,False,False,False,False,False,False,0,False,0,False,False
R00402,False,True,False,False,False,False,False,False,1,True,1,False,True
R00403,False,True,False,False,False,True,False,False,2,True,2,True,False
R00404,False,False,False,False,False,False,False,False,0,False,0,False,False
R00405,False,False,False,False,False,False,False,False,0,False,0,False,False
R00406,False,False,False,False,False,False,False,False,0,False,0,False,False
R00407,False,False,False,False,False,False,False,False,0,False,0,False,False
R00408,False,False,True,False,False,False,False,False,1,True,1,False,True
R00409,False,False,False,False,False,False,False,False,0,False,0,False,False
R00410,False,False,False,False,False,False,False,False,0,False,0,False,False
R00411,False,True,False,False,False,False,False,True,2,True,2,True,False
R00412,False,False,False,False,False,False,False,False,0,False,0,False,False
R00413,False,False,False,False,False,False,False,False,0,False,0,False,False
R00414,False,False,False,False,False,False,False,False,0,False,0,False,False
R00415,False,False,False,False,False,False,False,False,0,False,0,False,False
R00416,False,False,False,False,False,False,False,False,0,False,0,False,False
R00417,False,False,False,False,False,False,False,False,0,False,0,False,False
R00418,False,False,False,False,False,False,False,False,0,False,0,False,False
R00419,False,False,False,False,False,False,False,False,0,False,0,False,False
R00420,False,False,False,False,False,False,False,False,0,False,0,False,False
R00421,False,False,False,False,False,False,False,False,0,False,0,False,False
R00422,False,False,False,False,False,False,False,False,0,False,0,False,False
R00423,False,False,False,False,False,False,False,False,0,False,0,False,False
R00424,False,False,False,False,False,False,False,False,0,False,0,False,False
R00425,False,False,False,False,False,False,False,False,0,False,0,False,False
R00426,False,False,False,False,False,False,False,False,0,False,0,False,False
R00427,False,False,False,False,False,False,False,False,0,False,0,False,False
R00428,False,False,False,False,False,False,False,False,0,False,0,False,False
R00429,False,False,False,False,False,False,False,True,1,True,1,False,True
R00430,False,False,False,False,False,False,False,False,0,False,0,False,False
R00431,False,False,False,False,False,False,False,False,0,False,0,False,False
R00432,False,True,False,False,False,False,False,False,1,True,1,False,True
R00433,False,False,True,False,False,False,False,False,1,True,1,False,True
R00434,False,False,False,False,False,False,False,False,0,False,0,False,False
R00435,False,False,False,False,False,False,False,False,0,False,0,False,False
R00436,False,False,False,False,False,False,False,False,0,False,0,False,False
R00437,False,False,False,False,False,False,False,False,0,False,0,False,False
R00438,False,False,False,False,False,False,False,False,0,False,0,False,False
R00439,False,False,False,False,False,False,False,False,0,False,0,False,False
R00440,False,False,False,False,False,False,False,False,0,False,0,False,False
R00441,False,False,False,False,False,False,False,False,0,False,0,False,False
R00442,False,False,False,False,False,False,False,False,0,False,0,False,False
R00443,False,False,True,False,False,False,False,False,1,True,1,False,True
R00444,False,False,False,False,False,False,False,True,1,True,1,False,True
R00445,False,False,False,False,False,False,False,False,0,False,0,False,False
R00446,False,False,False,False,False,False,False,True,1,True,1,False,True
R00447,False,False,False,True,False,False,False,False,1,True,1,False,True
R00448,False,False,False,False,False,True,False,False,1,True,1,False,True
R00449,False,False,False,False,False,False,False,False,0,False,0,False,False
R00450,False,False,False,False,False,False,False,False,0,False,0,False,False
R00451,False,False,False,True,False,False,False,False,1,True,1,False,True
R00452,False,False,False,False,False,False,False,False,0,False,0,False,False
R00453,False,False,False,True,False,False,False,False,1,True,1,False,True
R00454,False,False,False,False,False,False,False,True,1,True,1,False,True
R00455,False,False,False,False,False,False,False,False,0,False,0,False,False
R00456,False,False,False,False,False,False,False,False,0,False,0,False,False
R00457,False,False,True,False,False,False,False,False,1,True,1,False,True
R00458,False,False,True,False,False,False,False,False,1,True,1,False,True
R00459,False,False,False,False,False,False,False,False,0,False,0,False,False
